P,num_trading_agents_CPP
0.0,0
0.23,500
0.22,498
0.08,499
0.27,500
0.31,500
0.17,487
0.01,344
0.39,500
0.04,426
0.11,494
0.21,496
0.1,500
0.13,498
0.24,500
0.09,500
0.19,498
0.28,500
0.05,400
0.18,498
0.42,500
0.02,386
0.47,500
0.43,500
0.45,500
0.46,500
0.44,500
0.12,493
0.48,500
0.41,500
0.2,495
0.29,500
0.25,499
0.36,500
0.3,499
0.15,500
0.34,500
0.03,443
0.35,500
0.49,500
0.37,500
0.38,500
0.69,500
0.14,493
0.66,500
0.68,500
0.16,498
0.72,500
0.77,500
0.07,484
0.65,500
0.78,500
0.06,478
0.63,500
0.73,500
0.7,500
0.64,500
0.74,500
0.76,500
0.71,500
0.62,500
0.75,500
0.67,500
0.93,500
0.82,500
1.0,0
0.9,500
0.95,500
0.26,500
0.92,500
0.8,500
0.96,500
0.85,500
0.79,500
0.91,500
0.81,500
0.87,500
0.84,500
0.98,500
0.88,500
0.86,500
0.94,500
0.99,500
0.32,500
0.89,500
0.97,500
0.61,500
0.83,500
0.6,500
0.33,500
0.55,500
0.59,500
0.4,500
0.58,500
0.57,500
0.52,500
0.56,500
0.53,500
0.54,500
0.51,500
0.5,500
