Central Planning Mean,Smart Market Mean ,Bilateral Market Mean
-2.352875732159326e-12,0.0,0.0
944.1733927841453,329.32859757957567,313.99997981299504
1928.7989850422268,679.3241964028332,636.2602178034696
2822.149454411127,979.868075714609,906.7486290581869
3784.2948571219094,1344.8383730463165,1250.3035856726374
4567.8574414134455,1585.8723929497723,1580.725912139622
5561.016039672753,1908.637014568847,1891.8032117626542
6235.238850138112,2138.2627248276667,2017.5053744081015
7127.067375814885,2322.588632331177,2272.846413839535
7720.253369490187,2410.6399070965563,2325.621393399932
8383.30180594057,2647.267369523197,2556.2073185939416
8854.18586400228,2650.000701089999,2628.216968616045
9581.02789475741,2732.461295356601,2858.4123564249644
9912.93829595904,2884.602710683419,2956.724192880225
10533.993316364184,3140.609587880992,3131.133262151418
11204.113489432119,3343.3034969544933,3423.6983957146167
11714.268517648943,3335.4349301340426,3490.9753404809
12267.75176861884,3410.153845038645,3635.536109811712
12796.758487918418,3389.125024601595,3718.8566659985795
13156.682763130408,3408.1009505975926,3723.0640664991743
13665.79280706611,3616.2141336037494,3824.116659685042
14035.334200966297,3576.78546489148,3901.806019810534
14277.488414801768,3583.6228994002886,3809.0746885790168
14606.851727973082,3613.5365019740493,3888.4933498925216
14862.47402699079,3453.7444946566393,3880.1006829594394
15290.170753520495,3429.907534720096,4001.6810640904373
15496.816813986046,3572.9605538527285,3980.5168310207887
15976.948862573889,3695.0749886656704,4126.252740205778
16477.748567261307,4138.021437160973,4311.370533787444
16911.033606149438,3948.1435375954607,4568.415511857345
17142.108005802012,3921.132348705407,4472.02445689798
17366.00749199951,3790.417397794299,4453.635454725995
17660.35380918611,3787.179781943978,4518.5408992655
17892.300637159027,3885.55828755083,4502.888151255993
18182.63073033696,3824.2306553397357,4510.577742137791
18269.428857815066,3805.1141800944642,4455.937285747362
18489.365677784,3829.016334203927,4480.065470637154
18774.17278670442,3935.953559604175,4646.872779678693
18924.845011256497,3958.936363227189,4574.170363320011
19059.442919665937,3933.5512222627804,4384.5661164300345
19148.822980659716,3928.1686206936065,4278.545577397126
19365.11043347635,3676.394949667025,4196.059769134079
19377.312790885975,3910.377271189689,4133.500943155332
19506.182442265283,3873.7795333323884,4146.134826748378
19448.880396531542,3807.5064259981446,3922.989693590442
19448.365700694572,3390.0874878290997,3792.1075281623016
19644.850301606843,3349.5215018199597,3823.6250833257127
19771.34896621011,3458.5899016456897,3778.0655319945804
19604.991375068155,3185.6388885509296,3533.451509456125
19616.945142716788,3053.122486870896,3372.355765718755
19608.563766882144,2981.8731040808852,3272.394953860712
19573.19986265678,2812.425014034714,3214.4685358286497
19668.6741946886,2953.0578203091936,3260.4250175987686
19563.615755329905,2867.593787750564,3142.9357270245328
19481.59614894144,2700.4641216323507,3025.5062167884225
19280.26012136511,2550.2500710934837,2904.7460719160244
19245.28707380591,2401.5822422552956,2773.2613607945514
19296.357057282825,2327.3695772332867,2704.9142684100643
19226.80316562131,2214.627085324326,2691.475155443255
19116.867635101735,2084.3822992981513,2534.633044580258
18871.596064352932,1968.1852042384635,2379.142495051024
18753.872224668048,2137.397672460218,2312.270852060061
18609.587576671936,2128.6207290203456,2213.3590383372725
18442.395204741835,1992.9016995821512,2135.3688890312224
18168.596498308892,1751.2869189957783,1926.675253481234
18140.51597511637,1804.1469100134855,2061.09746080665
17816.380249598547,1668.7978168374248,1944.5999190227687
17682.36815671246,1643.5823746578608,1941.9490627366508
17439.049776635962,1629.8666441603782,1907.410068446315
17060.72287478223,1676.1863671010287,1770.2107413014458
16718.445117653613,1410.322413364287,1670.15917533586
16443.472938053434,1441.505704934083,1757.3757308458455
16217.254310522916,1491.539852148664,1787.0744495136903
15855.865700194758,1392.908356049862,1762.8158029697452
15450.519299687387,1344.6339731046828,1721.063041068042
15110.5111879135,1283.198482995882,1674.6133045640072
14844.40193372671,1316.1093957025878,1666.6966674433359
14446.469878398182,1378.3656820574251,1612.28122339171
13903.082560834993,1328.7983047023881,1573.7293218036416
13595.224685550469,1455.2294970859875,1712.7202973049405
13089.311658828476,1603.8550943287846,1693.5961363596778
12564.987780486137,1568.8288204172713,1585.5006161835317
12035.581626370556,1349.0474612870457,1396.5681771127158
11435.301245354642,1241.410587612525,1226.3908616319068
10904.6112522056,1090.401318121716,1041.596636184835
10379.764494864454,997.173512169742,920.8403509363312
9859.687058145006,836.9875334676326,994.3395912416767
9375.393655309905,881.1289164328336,994.3259622115987
8663.58386352585,660.4069261892873,898.3783484577654
7943.999985132054,695.3486929522187,761.6150157073592
7254.976706121157,603.985460466647,653.887088570481
6586.168742943684,453.67524265618704,471.1172252143764
5953.200961940441,475.25390191540646,418.75333916856385
5177.620481347131,275.69297175409156,260.59197723395437
4464.9050537274525,160.62897311410052,187.8113674380489
3717.185844443954,35.057258137123426,32.19541384187411
3023.4999680012643,102.86522535703261,96.1614988616739
2414.790759633083,303.67193824214337,296.0574259397984
1502.9403953859457,70.59239897073712,53.42096063171863
770.2236287557242,0.0,0.0
1.4210854715202004e-14,0.0,0.0
