P,TV0
0.0,0.0
0.07,5466.314122999574
0.04,3086.431486402794
0.12,9854.0436322894
0.05,3812.1767432296806
0.25,20614.172688919523
0.32,25917.09942688914
0.3,24405.701993216746
0.24,19837.459091670222
0.11,8913.862803395834
0.41,33083.55969064792
0.44,35526.161418352276
0.08,6361.042909928692
0.42,33804.957617406006
0.1,8156.2681052217795
0.46,37048.09436834275
0.02,1555.7512894942959
0.03,2350.1746221528115
0.38,30608.6499907457
0.45,36360.970268912424
0.06,4692.1580107314485
0.48,38835.300975631166
0.09,7220.1759999138085
0.39,31584.369668636158
0.14,11273.454396482832
0.37,29867.289654908906
0.4,32386.427235011994
0.13,10621.537188126524
0.01,699.8455981983805
0.35,28253.965088909994
0.43,34547.63166748968
0.17,13744.77668133424
0.56,45331.228093549165
0.54,43690.590519156554
0.51,41243.530667888124
0.33,26574.797429583432
0.2,16397.506654551784
0.27,22040.608208936726
0.55,44463.12849148315
0.22,18066.261247834504
0.57,46070.026096913105
0.15,12194.416055931204
0.59,47509.51045476333
0.16,12904.455555562026
0.28,22758.84765843299
0.58,46849.578611045035
0.72,57802.651859150414
0.67,53889.86919452569
0.19,15452.2795967348
0.75,60167.881524047785
0.68,54655.09202578569
0.73,58603.20912119093
0.34,27554.38643854609
0.31,25159.268358636302
0.77,61542.69597486171
0.7,56366.906986823626
0.36,29157.401424242093
0.78,62540.63774366711
0.29,23595.314651134282
0.47,37753.91672789084
0.82,65641.23434027868
0.76,60790.976635890154
0.52,41990.0928543715
0.81,64867.26748694028
0.5,40391.625826721574
0.21,17268.43144687107
0.26,21306.19928320794
0.87,69586.01638456165
0.86,68897.29571512059
0.89,71420.7532847764
1.0,80548.37250442934
0.18,14555.06928625904
0.79,63170.948996855564
0.85,68123.38898484167
0.8,64025.51488557494
0.88,70506.67493550436
0.95,76502.83978293417
0.69,55532.3151695253
0.91,73084.67611844197
0.97,77953.48528978172
0.94,75590.27674111139
0.9,72276.66275825509
0.64,51583.26611627705
0.99,79672.44044944481
0.74,59453.515683522826
0.61,49165.381660061736
0.83,66561.23090592558
0.96,77278.45303215977
0.98,78917.48572853365
0.62,50009.19042892028
0.23,18648.507794380188
0.49,39587.23485544501
0.71,57137.763138109905
0.53,42768.478527287734
0.84,67359.58062066499
0.92,73827.14153888202
0.65,52083.35431105521
0.93,74743.62754393838
0.63,50640.64627058674
0.6,48412.82773219973
0.66,53092.004700752026
