Smart Market Mean,Smart Market Min,Smart Market Max
305.5871836451041,183.74897938340132,511.7848076531259
552.6725123929255,353.7349990474729,708.2102498593074
736.4012237165022,482.33310911284434,970.3548995754959
1004.2177079497566,713.2925822873262,1234.1974349106804
1151.636442048175,846.4961086941898,1420.5513715965758
1434.6810112705693,1036.227330030546,1766.3033114193913
1500.818117120827,1023.646465455482,1985.7547502621082
1661.529740844054,1158.534922354992,2143.6309213339428
1671.3382267447462,1088.072631060466,2206.913524651278
1772.0741784786794,1265.150641758646,2275.8850141744806
1794.8778429428903,1235.8977146663474,2345.850360902532
1957.2947912622983,1394.4750120130848,2491.025070967533
2022.9118912107836,1495.4929779570957,2660.8520844072427
2235.019101798225,1603.8511955248632,2749.6834703570476
2332.893005472392,1780.4149184508933,2854.2256349304407
2417.4242032818697,1783.1623432688993,2853.2219274227937
2499.928894176022,1865.9753898587605,2990.3736159680466
2577.2428313069418,1911.2332794072754,3107.667346014641
2536.4120251672402,1867.486591591096,3070.1012528446117
2616.4433036093515,1987.0537618670278,3326.295969721301
2602.5167983247784,1920.6160013819062,3535.761957603667
2546.8935620841,1922.4600112369408,3306.8266322893724
2627.352471473329,1961.9719944830758,3367.1675026342855
2535.8265790574524,1831.7118734271462,3144.1153095937407
2633.0350545299293,1915.9860655141056,3519.0270823360006
2624.480022720134,1916.5235232163686,3623.8566261088126
2777.1516917326394,2059.1085075269366,3709.7802475426033
2903.7863074178867,2144.5245339523826,3982.794199030046
3018.115773232321,2351.3172525104856,3915.4868910367404
2991.4558180829126,2291.6744541671105,3822.1338678142893
3002.7381780082965,2363.813753308721,3823.0509723920586
3058.5851946563857,2414.30228424049,3930.7812463824994
3101.5088930949296,2386.446546579271,3963.869765839914
3108.8322255488933,2198.3251550929817,4023.468606731971
3090.2966123440838,2070.7654536272494,3948.5826660952225
3085.102560618951,2038.3608026159563,4020.8177735746904
3194.598442120763,2182.921261812844,4195.788156380215
3164.9885356192844,2320.7830661925436,4090.5998658757926
3173.619906632359,2272.488934963134,4007.9778226311537
3161.0695900062287,2166.369955813767,4011.814021440463
3266.0206581492494,2325.0684802947944,4142.915823185889
3271.9612804143635,2417.167003524366,4126.769133596084
3283.897231328553,2334.0726715719575,4222.395688117293
3180.4064650645705,2236.7965426512164,3987.2408901304807
3081.229496676043,2142.8113672267064,3936.431132197278
3204.0467715247864,2261.9165053386023,4009.6413678128083
3251.7849810331036,2216.422085219121,4202.604016297468
3066.935309489832,2034.4843760316726,3878.686107447953
3033.2154641702236,1964.3209493517134,3836.55615902735
2980.0344104395413,1958.75271316219,3844.5008954794685
2925.386640227481,1964.4225168055418,3924.4674659028897
2924.173307568864,1848.9224025379954,3864.884326508036
2901.2411299891805,1821.008990605238,3764.5443192513485
2807.7004901307137,1649.7936386364381,3615.2825308973406
2701.0916108149627,1769.924683303805,3483.9839961918187
2644.0892299557254,1909.0689065209299,3489.3105547214873
2657.2518247379153,1949.4913883648696,3739.0695776792854
2674.0526918419464,1939.9139139773106,3795.3468107714143
2597.90999063662,1798.7612950453695,3618.196069787613
2452.706986954424,1609.6465419361193,3437.0710216493244
2481.450195165359,1611.6983061405263,3495.478545649392
2507.141316245707,1673.8257245078348,3424.210873710472
2492.132466471808,1702.7594217345395,3531.5423052490587
2408.5732301411545,1491.4952069444116,3286.048691561591
2489.696324438854,1640.281286327292,3381.1118343106573
2393.234500994559,1464.780880047132,3311.50455471802
2353.6819571202523,1410.5060607202831,3203.892531367397
2302.850590584958,1427.9752975831652,3116.799028927533
2145.6904050697335,1220.3951268981182,3097.9488297227144
2086.445614814869,1259.1996316507866,3042.2756528003956
2045.5201397236624,1225.6845947688125,3015.4074497264373
2120.8007202279014,1257.357602697528,2950.334553708446
2047.6970935921674,1214.3765296046186,2796.1575405887197
2038.2990729305632,1212.9201217686568,2763.3256304978713
2009.8807997241674,1155.039325120175,2668.3064914462448
2011.0323432481136,1314.5970390708098,2713.8850443927877
1994.669007900533,1328.2619555537094,2650.272702077913
1903.036720839455,1319.0733810255551,2540.8851438530546
1979.9773404753983,1349.8960952626585,2683.3471725065247
1891.2981202965987,1350.7630387543613,2704.6378041480784
1819.8481029097454,1140.9791673765721,2601.0301464909426
1668.20068399153,991.6314625325904,2515.911082329476
1601.1500783385,890.5653418322036,2499.2275454566843
1584.8838050229126,806.7323119652865,2434.1768626621633
1506.0753040172112,712.9180868887051,2244.574586184899
1465.7165851036377,839.1589832803875,2307.4559927505034
1489.5449175888427,919.4855214728013,2288.112376666497
1328.5206146306257,835.9027537797228,2043.7209472932009
1193.8730030973636,687.8327508314833,1790.739429783178
1090.268475340136,536.8406567896163,1653.0372807690292
989.4002190996339,406.7557725623483,1629.2523343693465
908.9034477600875,345.6855925475247,1477.3957069396129
766.9575013463618,234.032290400879,1184.4980605196615
666.9955420832069,256.0652060142311,1063.5068002732005
543.0380284319372,115.51764985537739,861.44698321959
446.4222292265124,-24.337164271972142,710.6713510720874
415.71578052665745,0.07636370048567187,719.1889780640922
221.7927484487048,15.580757411880768,419.3501487522735
116.1038188267914,1.9736951477389084,240.89800463904976
0.0,0.0,0.0
