Percentage_of_Sellers,Percentage_Value_Increased,GFT_old,GFT_new,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers,VBT
10,580.7844487774742,5060.733530523794,5060.733530523801,9.2,131.875,1261.25,458692.19747796754,24943095.188477673,760.6580193380145,13712.319211407872,42191.831720863614
20,844.2532661465657,8715.824375794225,8715.824375794251,17.4,271.875,1099.375,4182009.7290801513,68787400.4934637,1531.698359313945,12087.596886904288,79340.82347666666
30,2303.539603510893,14369.202364101919,14369.202364101933,27.800000000000004,425.625,967.5,3615597.954456473,7230927.171355398,2191.6908233565405,10321.650450502804,93254.23129364457
40,2953.9208186644705,14015.972426603257,14015.972426603257,34.2,585.625,855.0,12252515.070747409,10424725.194797935,3018.2184082091007,9048.213701427658,245158.21782228298
50,7239.536316554144,16917.166457144718,16917.16645714493,40.0,692.5,723.125,43261802.99494033,4041062.455541579,3822.280604035433,7442.317227158474,280103.3725476187
60,26732.653530121963,20248.427618514805,20248.42761851488,48.6,831.875,592.5,4020833.5050754296,4088807.794535332,4490.842094422236,6042.940757550827,260215.0171226529
70,14124.07760248348,14796.856265166658,14796.856265166938,53.2,971.25,420.0,8348842.713720195,4021618.93521403,5274.0470719245495,4577.194769586406,646260.8927163933
80,32265.51492699785,12375.451240571914,12375.451240571929,43.8,1155.0,285.625,14074102.012332078,1362867.1978639688,6081.7263915955355,2953.413093376338,217174.69077075383
90,11882.694602524998,3669.189667315455,3669.189667315508,28.199999999999996,1219.375,129.375,19441710.886580154,1282619.9372727096,6775.3664224853865,1424.9298170223121,874222.1302144374
